i,0,1,2,3,4,5,6,7,8,9,10
628,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
629,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
630,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
631,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
632,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
633,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
634,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
635,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
636,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
637,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
638,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
639,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
640,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
641,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
642,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
643,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
644,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
645,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
646,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
647,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
648,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
649,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
650,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
651,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
652,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
653,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
654,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
655,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
656,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
657,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
658,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
659,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
660,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
661,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
662,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
663,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
664,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
665,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
666,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
667,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
668,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
669,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
670,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
671,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
672,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
673,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
674,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
675,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
676,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
677,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
678,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
679,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
680,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
681,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
682,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
683,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
684,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN
685,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
686,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
687,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
688,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
689,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
690,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
691,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
692,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
693,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
694,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
695,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
696,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
697,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN
698,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
699,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
700,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
701,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
702,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
703,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
704,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
705,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
706,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
707,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
708,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
709,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
710,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
711,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
712,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
713,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
714,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
715,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
716,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
717,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
718,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
719,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
720,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN
721,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
722,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
723,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
724,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
725,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
726,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
727,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
728,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
729,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
730,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
731,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
732,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
733,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
734,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
735,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
736,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
737,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
738,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
739,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
740,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
741,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
742,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
743,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
744,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
745,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
746,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
747,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
748,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
749,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
750,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
751,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
752,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
753,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
754,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
755,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
756,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
757,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
758,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
759,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
760,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
