i,0,1,2,3,4,5,6,7,8,9,10
907,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
908,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
909,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
910,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
911,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
912,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
913,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
914,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
915,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
916,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
917,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
918,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
919,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
920,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
921,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
922,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
923,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN
924,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
925,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN
926,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
927,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
928,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
929,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
930,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
931,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
932,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
933,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
934,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
935,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
936,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
937,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
938,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
939,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
940,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
941,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
942,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
943,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
944,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
945,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
946,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
947,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
948,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
949,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
950,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
951,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
952,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
953,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
954,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
955,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
956,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
957,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
958,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
959,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
960,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
961,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
962,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
963,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
964,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
965,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
966,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
967,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
968,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
969,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
970,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN
971,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
972,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
973,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
974,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN
975,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN
976,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
977,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
978,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN
979,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
980,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
981,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
982,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
983,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
984,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
985,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN
986,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
987,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
988,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
989,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
990,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
991,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
992,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
993,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
994,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN
995,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
996,FP,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN
997,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN
998,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN
999,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN
