,i,g,status
915,83,2,FP
916,83,3,FP
917,83,4,FP
918,83,5,FP
919,83,6,FP
920,83,7,FP
921,83,8,TN
922,83,9,TN
923,83,10,TN
924,84,0,FP
925,84,1,FP
926,84,2,FP
927,84,3,FP
928,84,4,FP
929,84,5,TN
930,84,6,TN
931,84,7,TN
932,84,8,TN
933,84,9,TN
934,84,10,TN
935,85,0,FP
936,85,1,FP
937,85,2,FP
938,85,3,FP
939,85,4,FP
940,85,5,TN
941,85,6,TN
942,85,7,TN
943,85,8,TN
944,85,9,TN
945,85,10,TN
946,86,0,TP
947,86,1,TP
948,86,2,TP
949,86,3,TP
950,86,4,TP
951,86,5,TP
952,86,6,TP
953,86,7,TP
954,86,8,TP
955,86,9,FN
956,86,10,FN
957,87,0,FP
958,87,1,FP
959,87,2,FP
960,87,3,FP
961,87,4,TN
962,87,5,TN
963,87,6,TN
964,87,7,TN
965,87,8,TN
966,87,9,TN
967,87,10,TN
968,88,0,TP
969,88,1,TP
970,88,2,TP
971,88,3,TP
972,88,4,TP
973,88,5,TP
974,88,6,TP
975,88,7,FN
976,88,8,FN
977,88,9,FN
978,88,10,FN
979,89,0,FP
980,89,1,FP
981,89,2,FP
982,89,3,FP
983,89,4,FP
984,89,5,FP
985,89,6,FP
986,89,7,TN
987,89,8,TN
988,89,9,TN
989,89,10,TN
990,90,0,FP
991,90,1,FP
992,90,2,FP
993,90,3,FP
994,90,4,FP
995,90,5,FP
996,90,6,FP
997,90,7,TN
998,90,8,TN
999,90,9,TN
1000,90,10,TN
1001,91,0,TP
1002,91,1,TP
1003,91,2,TP
1004,91,3,TP
1005,91,4,TP
1006,91,5,TP
1007,91,6,TP
1008,91,7,TP
1009,91,8,TP
1010,91,9,TP
1011,91,10,FN
1012,92,0,FP
1013,92,1,FP
1014,92,2,FP
1015,92,3,FP
1016,92,4,FP
1017,92,5,FP
1018,92,6,FP
1019,92,7,FP
1020,92,8,TN
1021,92,9,TN
1022,92,10,TN
1023,93,0,FP
1024,93,1,FP
1025,93,2,FP
1026,93,3,FP
1027,93,4,FP
1028,93,5,TN
1029,93,6,TN
1030,93,7,TN
1031,93,8,TN
1032,93,9,TN
1033,93,10,TN
1034,94,0,FP
1035,94,1,FP
1036,94,2,FP
1037,94,3,FP
1038,94,4,FP
1039,94,5,FP
1040,94,6,TN
1041,94,7,TN
1042,94,8,TN
1043,94,9,TN
1044,94,10,TN
1045,95,0,TP
1046,95,1,TP
1047,95,2,TP
1048,95,3,TP
1049,95,4,TP
1050,95,5,TP
1051,95,6,TP
1052,95,7,TP
1053,95,8,FN
1054,95,9,FN
1055,95,10,FN
1056,96,0,FP
1057,96,1,FP
1058,96,2,FP
1059,96,3,FP
1060,96,4,FP
1061,96,5,FP
1062,96,6,TN
1063,96,7,TN
1064,96,8,TN
1065,96,9,TN
1066,96,10,TN
1067,97,0,FP
1068,97,1,FP
1069,97,2,FP
1070,97,3,TN
1071,97,4,TN
1072,97,5,TN
1073,97,6,TN
1074,97,7,TN
1075,97,8,TN
1076,97,9,TN
1077,97,10,TN
