,unknown,#occ,length
44,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987', '0404eb74d7bcf0a16319da46e4e0eadc201837f0', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '2b9685484e0601ef482a046880fd96a7838416da')",1,9
45,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987', '2b9685484e0601ef482a046880fd96a7838416da', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",1,9
46,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",3,3
47,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '8767b63e7c38815d76f00c3ed75c063991300a0f')",1,4
48,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987')",1,6
49,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '8767b63e7c38815d76f00c3ed75c063991300a0f')",5,2
50,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987')",2,4
51,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987', '2b9685484e0601ef482a046880fd96a7838416da', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987')",1,7
52,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', '8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987')",1,6
53,"('6e9d50b72cf5639a164d0120e06f889b5056bef6', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,6
54,"('70897e1c39fb80f03aabd9f8005f1831ca6e428c',)",35,1
55,"('70897e1c39fb80f03aabd9f8005f1831ca6e428c', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",1,2
56,"('70897e1c39fb80f03aabd9f8005f1831ca6e428c', '8767b63e7c38815d76f00c3ed75c063991300a0f')",1,2
57,"('8422cb3ad500740aca94a6d8a8f2c31893e6313e',)",2,1
58,"('8767b63e7c38815d76f00c3ed75c063991300a0f',)",21,1
59,"('8767b63e7c38815d76f00c3ed75c063991300a0f', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",1,2
60,"('8767b63e7c38815d76f00c3ed75c063991300a0f', '2b9685484e0601ef482a046880fd96a7838416da', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",1,8
61,"('8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",2,2
62,"('8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987')",1,3
63,"('8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",2,4
64,"('8767b63e7c38815d76f00c3ed75c063991300a0f', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,6
65,"('8767b63e7c38815d76f00c3ed75c063991300a0f', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '70897e1c39fb80f03aabd9f8005f1831ca6e428c')",1,7
66,"('8767b63e7c38815d76f00c3ed75c063991300a0f', 'f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,7
67,"('9c856f1e6012ee6a1c03b2a7867c75523872938d', '70897e1c39fb80f03aabd9f8005f1831ca6e428c')",1,2
68,"('9c856f1e6012ee6a1c03b2a7867c75523872938d', 'dde5a5a8c26dbf8525626da051b93f9afad2c940')",1,2
69,"('9c856f1e6012ee6a1c03b2a7867c75523872938d', 'f1b299be0a77904608177cd35648f885e4cf7bec', '70897e1c39fb80f03aabd9f8005f1831ca6e428c', '202f46dd234fb569bac92876b558af9634d6ae1e')",3,4
70,"('da39a3ee5e6b4b0d3255bfef95601890afd80709',)",1,1
71,"('f1b299be0a77904608177cd35648f885e4cf7bec',)",1,1
72,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",2,4
73,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",166,5
74,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '0404eb74d7bcf0a16319da46e4e0eadc201837f0')",4,6
75,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '0404eb74d7bcf0a16319da46e4e0eadc201837f0', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",2,11
76,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '1bb141175d58caf6d83e171ae624a55c7231f7f0', '70897e1c39fb80f03aabd9f8005f1831ca6e428c')",1,7
77,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '2b9685484e0601ef482a046880fd96a7838416da')",2,6
78,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '2b9685484e0601ef482a046880fd96a7838416da', 'f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78')",1,11
79,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '31f4c9f96bc929514ea10383a17ed8d514f28987')",5,6
80,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '31f4c9f96bc929514ea10383a17ed8d514f28987', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '8767b63e7c38815d76f00c3ed75c063991300a0f')",1,8
81,"('f1b299be0a77904608177cd35648f885e4cf7bec', '563ac0c674eb31fe2a5f9fc733717da64f5e7655', '8422cb3ad500740aca94a6d8a8f2c31893e6313e', '202f46dd234fb569bac92876b558af9634d6ae1e', '32d9cc68795b0a82938893f6563e87deb4806d78', '31f4c9f96bc929514ea10383a17ed8d514f28987', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '8767b63e7c38815d76f00c3ed75c063991300a0f', '6e9d50b72cf5639a164d0120e06f889b5056bef6', '31f4c9f96bc929514ea10383a17ed8d514f28987', '6e9d50b72cf5639a164d0120e06f889b5056bef6')",1,11
