,text,cls
203,a2d7aff4a1e8381d7c8e582a0439ede6d13c7856,2
204,c12f4ad4120036667c85ed44c2273eb5ef9aa6d5,3
205,6e9d50b72cf5639a164d0120e06f889b5056bef6,4
206,5218d8668c0e42db7d47ad12f048f100edb0141d,5
207,f23f1b4ca52733e332b1af61349998e457ec12a2,1
208,84c8b239d504e7cfdd80f15c41a570bfdacfbe8b,2
209,f1f19dbcc6921179177669dfbd7e909a700fc435,1
210,84999ea17bfaf3533def73900f02ba85471b4c47,2
211,9da7939eb44967af092c2bd3eec2c3188691d2d8,3
212,35f56238ece0abe440b004ec7136027242e774fd,4
213,098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4,5
214,d9190728b3c213e38e307956bd231808020703f3,1
215,36c071f7122a7e4509b035cd35f247e481b6c372,2
216,b0128976be12239515a2cd72aaa3149a0af0200f,3
217,02409a0ab216846173b48ec37f761e65a92ebdb8,4
218,a2d7aff4a1e8381d7c8e582a0439ede6d13c7856,5
219,c12f4ad4120036667c85ed44c2273eb5ef9aa6d5,1
220,7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08,2
221,7686a20dda1833f105121170f5cb1aa7f9c46fd7,3
222,86fc94b906e47e847e63940dd68f8aa8690bad9c,1
223,ef9f99a06c438dac739fb40bf57172f2e2d7bf88,2
224,b084bc633285e4a1f622a17f25f1eaee6a665f58,3
225,2c9bfc22c7a5701bed45949d55208fe2228e0dd3,4
226,6e9d50b72cf5639a164d0120e06f889b5056bef6,5
227,84c8b239d504e7cfdd80f15c41a570bfdacfbe8b,6
228,d9190728b3c213e38e307956bd231808020703f3,7
229,35f56238ece0abe440b004ec7136027242e774fd,8
230,7686a20dda1833f105121170f5cb1aa7f9c46fd7,1
231,7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08,2
232,86fc94b906e47e847e63940dd68f8aa8690bad9c,1
233,ef9f99a06c438dac739fb40bf57172f2e2d7bf88,2
234,b084bc633285e4a1f622a17f25f1eaee6a665f58,3
235,098f01bdfa5d1d55ec61640e6cb1b19ba49e0af4,1
236,5218d8668c0e42db7d47ad12f048f100edb0141d,2
237,f23f1b4ca52733e332b1af61349998e457ec12a2,3
238,f1f19dbcc6921179177669dfbd7e909a700fc435,4
239,84999ea17bfaf3533def73900f02ba85471b4c47,5
240,9da7939eb44967af092c2bd3eec2c3188691d2d8,1
241,36c071f7122a7e4509b035cd35f247e481b6c372,2
242,b0128976be12239515a2cd72aaa3149a0af0200f,3
243,02409a0ab216846173b48ec37f761e65a92ebdb8,4
244,a2d7aff4a1e8381d7c8e582a0439ede6d13c7856,1
245,c12f4ad4120036667c85ed44c2273eb5ef9aa6d5,2
246,2c9bfc22c7a5701bed45949d55208fe2228e0dd3,3
247,5218d8668c0e42db7d47ad12f048f100edb0141d,4
248,f23f1b4ca52733e332b1af61349998e457ec12a2,5
249,84c8b239d504e7cfdd80f15c41a570bfdacfbe8b,6
250,7b30443838ece5e7ee6b3c0060dcf43d9cbc3b08,1
251,7686a20dda1833f105121170f5cb1aa7f9c46fd7,2
252,86fc94b906e47e847e63940dd68f8aa8690bad9c,3
253,ef9f99a06c438dac739fb40bf57172f2e2d7bf88,4
254,b084bc633285e4a1f622a17f25f1eaee6a665f58,1
